,title,installs,score,ratings,reviews,size,androidVersion,developer,contentRating,containsAds,released,updated,version
0,BYJU'S – The Learning App,100000000,4.1220655,1745108,947,167M,5,BYJU'S,Everyone,FALSE,"Jul 6, 2015",1651664753,10.1.1.13300
1,Duolingo: language lessons,100000000,4.5738,12512116,592133,Varies with device,Varies,Duolingo,Everyone,TRUE,"May 29, 2013",1652121759,Varies with device
2,"IIT JEE, NEET, NCERT Solutions",50000000,4.22,574552,307,22M,5,Doubtnut: Doubt Solving & Video Solutions App,Everyone,FALSE,"Oct 14, 2016",1652125525,7.9.67
3,Unacademy Learner App,50000000,3.3584905,951700,452,Varies with device,Varies,Unacademy,Everyone,FALSE,"Feb 15, 2017",1651833530,Varies with device
4,Noon Academy – Student Learning App,10000000,4.2523365,103191,459,52M,5,Noon Academy,Everyone,FALSE,"Mar 12, 2017",1652216183,4.6.32
5,Cambly - English Teacher,10000000,4.171521,126401,1352,99M,5,Cambly,Everyone,FALSE,"Feb 17, 2014",1651033831,5.1.2
6,Edmodo,10000000,3.9538593,459326,15292,Varies with device,5,"Edmodo, Inc",Everyone,TRUE,"Nov 2, 2010",1647559958,10.48.0
7,Quizlet: Languages & Vocab,10000000,4.673288,466157,49990,Varies with device,Varies,Quizlet Inc.,Everyone,TRUE,"Aug 20, 2013",1652224566,Varies with device
8,Udemy - Online Courses,10000000,4.353716,357547,13123,32M,6,Udemy,Everyone,FALSE,"Jan 14, 2014",1651761883,7.27.1
9,Teachmint - The Classroom App,10000000,3.9672132,134739,25,44M,5,Teachmint Technologies,Everyone,FALSE,"Jun 13, 2020",1652294692,5.18.0
10,Memrise Easy Language Learning,10000000,4.58008,1452079,65279,26M,7,Memrise,Everyone,TRUE,"May 20, 2013",1649335495,2022.4.5.0
11,Sololearn: Learn to Code,10000000,4.5160303,554749,19226,36M,5,Sololearn,Teen,TRUE,"Oct 25, 2016",1651312105,4.18.2
12,Epic: Kids' Books & Reading,5000000,4.3926272,82461,24061,203M,7,Epic! Creations Inc,Everyone,FALSE,"May 21, 2015",1652120180,3.55.3
13,LinkedIn Learning: Online Courses to Learn Skills,5000000,4.770349,76453,1685,40M,5,LinkedIn,Everyone,FALSE,"Sep 22, 2016",1652020625,0.230.4
14,"Cuemath: Math Games, Online Classes & Learning App",1000000,4.1034484,35681,316,60M,5,Cuemath,Everyone,FALSE,"Oct 11, 2019",1647418660,2.9.0
